doc_key;from_id;to_id;text;from_placename;to_placename;error
0410_0001-0003-0000-0137-0000;Q1015486;Q1246;Ode Psího k poli Kosovu;Psie Pole;Kosovo;
0410_0001-0003-0000-0137-0000;Q15288;Q3927;Od Ladogy dole k Astrachanům;Lake Ladoga;Astrakhan;
0410_0001-0003-0000-0137-0000;Q6383;Q545;Od Blatona k Baltu , Ozovu , Ode Prahy k Mozkvě;Blaton;Baltic Sea;
0410_0001-0003-0000-0137-0000;Q6383;Q102762;Od Blatona k Baltu , Ozovu , Ode Prahy k Mozkvě;Blaton;Azov;
0410_0001-0003-0000-0137-0000;Q1085;Q649;Ode Prahy k Mozkvě;Prague;Moscow;
0410_0001-0003-0000-0137-0000;Q993;Q17;Od Kamčatky až tam ku Japanům;Kamchatka Peninsula;Japan;
0410_0001-0004-0000-0016-0000;Q3493793;Q2628720;Ode Lisce k Žárům;Lysec;Žiar;
0410_0001-0004-0000-0017-0000;Q3491363;Q1653;od Beskydů přímá Cesta ku Dunaji;Beskydy Protected Landscape Area;Danube;
0410_0001-0008-0000-0001-0000;Q3150;Q1867060;Z Jeny k Lobdě;Jena;Lobeda;
0410_0001-0008-0000-0007-0000;Q3150;Q1136224;z Jeny do Gospody;Jena;Cospeda;
0415_0001-0001-0000-0001-0000;Q214644;Q43266;Od hor Krkonošských do Moravy;Giant Mountains;Moravia;
0415_0001-0001-0002-0009-0000;Q1644;Q48;Od Labe až k hradbám Asie ledovatým;Elbe;Asia;
0415_0001-0001-0002-0009-0000;Q645;Q13924;Od Névy pramenů až tam do pěn Adrie šumných;Neva;Adriatic Sea;
0416_0-0000-0000-0002-0001;Q4018;Q29;z Navarry dále do Špaňhel;Navarre;Spain;
0416_0-0000-0000-0002-0001;Q15682;Q35484;Od Cadizu zhůru do Mediny;Cádiz;Medina;
0416_0-0000-0000-0003-0000;Q7596262;Q36;ze Stadické dědiny Do Lechické sahá;Stadice;Lechické;
0416_0-0000-0000-0003-0000;Q7596262;Q166717;ze Stadické dědiny Do Lechické sahá krajiny K nivám šťastným nízké Krušvice;Stadice;Kruszwica;
0416_0-0000-0000-0003-0000;Q36;Q166717;ze Stadické dědiny Do Lechické sahá krajiny K nivám šťastným nízké Krušvice;Poland;Kruszwica;remove
0416_0-0000-0000-0003-0000;Q645;Q1653;od Nevy až ke Dunaji;Neva;Danube;
0416_0-0000-0000-0003-0000;Q545;Q13924;z plodné matky zrozené Od Baltyku dolu do Adrie;Baltic Sea;Adriatic Sea;repeated
0416_0-0000-0000-0003-0000;Q545;Q13924;Od Baltyku dolu do Adrie;Baltic Sea;Adriatic Sea;
0416_0-0000-0000-0003-0000;Q1229;Q157290;Od Donu až temné do Šumavy;Don;Bohemian Forest;
0418_0001-0000-0000-0001-0002;Q233576;Q173082;z Epidauru do Dacie;Epidaurus;Dacia;
0419_0001-0000-0000-0002-0000;Q1653;Q131574;Od Dunaje k Vltavě;Danube;Vltava;
0419_0001-0000-0000-0002-0000;Q1653;Q131210;Od Dunaje k Vltavě a k Dněstru;Danube;Dniester;
0419_0001-0000-0000-0002-0000;Q131574;Q131210;Od Dunaje k Vltavě a k Dněstru;Vltava;Dniester;repeated
