"lang","doc_key","from_id","to_id","text","author_name","year_birth","year_death","from_placename","from_latitude","from_longitude","from_type","from_type_detail","to_placename","to_latitude","to_longitude","to_type","to_type_detail"
"cs","0250_0001-0000-0000-0013-0000","Q4198","Q157290","od Moravy ku hor Krušných davu , od Krkonoš milou po Šumavu","Heyduk, Adolf",1835,1923,"Ore Mountains",50.58333333,13,"mountain","mountain","Bohemian Forest",49,13.5,"mountain","mountain"
"cs","0250_0001-0000-0000-0013-0000","Q214644","Q157290","od Krkonoš milou po Šumavu","Heyduk, Adolf",1835,1923,"Giant Mountains",50.75,15.583333,"mountain","mountain","Bohemian Forest",49,13.5,"mountain","mountain"
"cs","0250_0001-0000-0000-0016-0002","Q1653","Q392483","od Dunajských břehů ku Strbskému plesu","Heyduk, Adolf",1835,1923,"Danube",48.0951111111111,8.15488888888889,"river","river","Štrbské Pleso",49.12,20.06194444,"region","land"
"cs","0250_0001-0000-0000-0016-0002","Q392483","Q182445","od Dunajských břehů ku Strbskému plesu , od Moravy družné k Prutu","Heyduk, Adolf",1835,1923,"Štrbské Pleso",49.12,20.06194444,"region","land","Prut",45.4688,28.2072,"river","river"
"cs","0250_0001-0000-0000-0016-0002","Q43266","Q182445","od Moravy družné k Prutu","Heyduk, Adolf",1835,1923,"Moravia",49.5,17,"region","land","Prut",45.4688,28.2072,"river","river"
"cs","0257_0001-0000-0000-0001-0010","Q11863119","Q2698393","z luhu , K Děvínu se béře vyslankyně , K Branovu","Hněvkovský, Šebestián",1770,1847,"Děvín",50.045278,14.391667,"mountain","mountain","Branov",50.012964641199,13.842979977995,"village","village"
"cs","0282_0001-0000-0000-0026-0000","Q157290","Q194263","od Šumavy neproniklých borů až po háje Tater zelené","Jahn, Jiljí Vratislav",1838,1902,"Bohemian Forest",49,13.5,"mountain","mountain","Tatra Mountains",49.177777777778,19.908333333333,"mountain","mountain"
"cs","0291_0001-0000-0000-0001-0009","Q157290","Q194263","Od Šumavy až po výšiny Tater","Jelínek, Hanuš",1878,1944,"Bohemian Forest",49,13.5,"mountain","mountain","Tatra Mountains",49.177777777778,19.908333333333,"mountain","mountain"
"cs","0291_0001-0000-0000-0001-0009","Q12130","Q101081","od Bretagně slunné do Provence","Jelínek, Hanuš",1878,1944,"Brittany",48,-3,"region","land","Provence",44,6,"region","region"
"cs","0292_0001-0000-0000-0001-0000","Q10817265","Q10817986","od Plešivce , Toku ke Třemšínu","Jelínek, Hanuš",1878,1944,"Plešivec",49.8114,13.9892,"mountain","mountain","Třemšín",49.5672,13.7772,"mountain","mountain"
"cs","0292_0001-0000-0000-0001-0000","Q10817953","Q10817986","od Plešivce , Toku ke Třemšínu","Jelínek, Hanuš",1878,1944,"Tok",49.7047,13.8769,"mountain","mountain","Třemšín",49.5672,13.7772,"mountain","mountain"
"cs","0306_0001-0000-0000-0001-0001","Q223353","Q3148382","z Opatije šel jsem do Iky","Jesenská, Růžena",1863,1940,"Opatija",45.334722222222,14.306944444444,"city","city","Ika",45.3066040739079,14.2801886848932,"city","city"
"cs","0317_0001-0000-0000-0004-0000","Q215573","Q131574","od Beskyd k stříbrné Vltavě","Kalus, Josef",1855,1934,"Beskids",49.41666667,20.25,"mountain","mountain","Vltava",50.34769,14.474382,"river","river"
"cs","0329_0001-0001-0000-0010-0000","Q131574","Q157728","od Vltavy Dále do Smrčin","Vacek Kamenický, František Jaroslav",1806,1869,"Vltava",50.34769,14.474382,"river","river","Fichtelgebirge",50.05,11.85,"mountain","mountain"
"cs","0329_0001-0001-0000-0010-0000","Q131574","Q157290","od Vltavy Dále do Smrčin a do Šumavy","Vacek Kamenický, František Jaroslav",1806,1869,"Vltava",50.34769,14.474382,"river","river","Bohemian Forest",49,13.5,"mountain","mountain"
"cs","0329_0001-0001-0000-0010-0000","Q157728","Q157290","od Vltavy Dále do Smrčin a do Šumavy","Vacek Kamenický, František Jaroslav",1806,1869,"Fichtelgebirge",50.05,11.85,"mountain","mountain","Bohemian Forest",49,13.5,"mountain","mountain"
"cs","0329_0001-0001-0000-0054-0000","Q616334","Q7596262","Z Libušina sídla , Vyšehradu , Do Stadice","Vacek Kamenický, František Jaroslav",1806,1869,"Vyšehrad",50.064427188,14.417644214,"castle/fort","historic fort","Stadice",50.616666666667,13.966666666667,"village","village"
"cs","0329_0001-0002-0000-0046-0000","Q220","Q213","Z Říma již se nazpět do Čech","Vacek Kamenický, František Jaroslav",1806,1869,"Rome",41.893055555556,12.482777777778,"city","city","Czech Republic",50,15,"country","country"
"cs","0331_0001-0000-0000-0007-0000","Q617511","Q102047454","od Sněžky ke Troskám","Kaminský, Bohdan",1859,1929,"Sněžka",50.736111111111,15.740277777778,"mountain","mountain","Trosky",50.5165461,15.2311553,"mountain","mountain"
"cs","0335_0001-0000-0000-0001-0008","Q1894568","Q41190","ze Sychrova a dále k Jivině","Kaminský, Bohdan",1859,1929,"Sychrov",50.62579398555,15.089464953591,"village","village","Jivina",50.554178833845,14.947251808674,"village","village"
"cs","0349_0001-0001-0000-0036-0000","Q157290","Q194263","od Šumavy až k Tatrám","Kaminský, Bohdan",1859,1929,"Bohemian Forest",49,13.5,"mountain","mountain","Tatra Mountains",49.177777777778,19.908333333333,"mountain","mountain"
"cs","0350_0001-0000-0000-0005-0000","Q12039461","Q1488700","od Můstku až k Prašné bráně","Kaminský, Bohdan",1859,1929,"Můstek",50.0845833,14.4227778,"city part","street","Powder Tower",50.087222222222,14.427777777778,"city part","city part"
"cs","0353_0001-0001-0000-0001-0000","Q641","Q641","od žaláře okno , v Benátkách když jsem , ať po Benátkách","Kapper, Siegfried",1821,1879,"Venice",45.439722222222,12.331944444444,"city","city","Venice",45.439722222222,12.331944444444,"city","city"
"cs","0353_0001-0001-0000-0003-0000","Q393309","Q157736","od Žabljaka do Morači vody","Kapper, Siegfried",1821,1879,"Žabljak",43.158333333333,19.130277777778,"village","village","Morača",42.257222222222,19.146111111111,"river","river"
"cs","0353_0001-0001-0000-0003-0000","Q393309","Q2662391","od Žabljaka do Morači","Kapper, Siegfried",1821,1879,"Žabljak",43.158333333333,19.130277777778,"village","village","Morač",52.5772,27.5872,"river","river"
"cs","0353_0001-0002-0000-0001-0000","Q3489993","Q730378","ze všech Brd až do zelené Tary","Kapper, Siegfried",1821,1879,"Brdy",49.64,13.74,"mountain","mountain","Tara",43.348333333333,18.839444444444,"river","river"
"cs","0353_0001-0002-0000-0001-0000","Q2662391","Q730378","ze vsi do vsi od Morači do zelené Tary","Kapper, Siegfried",1821,1879,"Morač",52.5772,27.5872,"river","river","Tara",43.348333333333,18.839444444444,"river","river"
"cs","0353_0001-0002-0000-0001-0000","Q2662391","Q730378","od Morači do zelené Tary","Kapper, Siegfried",1821,1879,"Morač",52.5772,27.5872,"river","river","Tara",43.348333333333,18.839444444444,"river","river"
